9FIOCKAM,FIOCCHI DI KAMUT®/KAMUT® FLAKES,,12,500 g,€ 1.32,10%,,
9FIOCGRS,FIOCCHI DI GRANO SARACENO/BUCKWHEAT FLAKES,,12,500 g,€ 1.62,10%,,
9FIOCRIS,FIOCCHI DI RISO INTEGRALE/WHOLE RICE FLAKES,,12,500 g,€ 1.09,10%,,
9FIOCSEG,FIOCCHI DI SEGALE/RYE FLAKES,,12,500 g,€ 0.82,10%,,
9FIOCMAIS,FIOCCHI DI MAIS/CORN FLAKES,,12,500 g,€ 1.02,10%,,
9FIOCQUI,FIOCCHI DI QUINOA/QUINOA FLAKES,,12,500 g,€ 3.22,10%,,
9FIOCAMA,FIOCCHI DI AMARANTO/AMARANTH FLAKES,,12,500 g,€ 2.33,10%,,
9FIOCCAST,FIOCCHI DI CASTAGNE/CHESTNUTS FLAKES,,12,250 g,€ 1.55,10%,,
,,,,,,,,
,,,,,,,,
