1PIPEN,8013885030026,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,penne,12,500 g,€ 0.75,4%,,,,
1PIFUS,8013885030019,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,fusilli,12,500 g,€ 0.75,4%,,,,
1PISED,8013885030057,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,sedani,12,500 g,€ 0.75,4%,,,,
1PIMAR,8013885030095,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,marziani,12,500 g,€ 0.75,4%,,,,
1PILUM,8013885030262,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,lumache,12,500 g,€ 0.75,4%,,,,
1PISPA,8013885030224,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,spaghetti,12,500 g,€ 0.75,4%,,,,
1PICAP,8013885030248,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,capellini,12,500 g,€ 0.75,4%,,,,
1PITAG,8013885030255,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,tagliatelle,12,500 g,€ 0.75,4%,,,,
1PICOR,8013885030194,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,cornetti,12,500 g,€ 0.75,4%,,,,
1PIMAC,8013885030149,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,macaronis,12,500 g,€ 0.75,4%,,,,
1PIDIT,8013885030156,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,ditalini,12,500 g,€ 0.75,4%,,,,
1PISTE,8013885030187,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,stelline,12,500 g,€ 0.75,4%,,,,
1PIBIA,8013885030217,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,biavetta,12,500 g,€ 0.75,4%,,,,
1PIVER,8013885030163,1902.19.10,WHOLE WHEAT ITALIAN PASTA                                                                   PASTA DI SEMOLA INTEGRALE DI GRANO DURO,vermicelli,12,500 g,€ 0.75,4%,,,,
1PBNITE,8013885060047,1902.19.10,"DURUM WHEAT ITALIAN PASTA PASTA DI SEMOLA DI GRANO DURO",tagliatelle a nido,12,250 g,€ 1.10,4%,,,,
1PBNITI,8013885060054,1902.19.10,"DURUM WHEAT ITALIAN PASTA PASTA DI SEMOLA DI GRANO DURO",tagliolini a nido,12,250 g,€ 1.10,4%,,,,
1PINITI,8013885060085,1902.19.10,"WHOLE DURUM WHEAT ITALIAN PASTA                                                    PASTA DI SEMOLA INTEGRALE DI GRANO DURO",tagliolini a nido,12,250 g,€ 1.10,4%,,,,
1FARNITI,8013885060108,1902.19.10,"100% WHOLEGRAIN DICOCCUM SPELT ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM ITALIANO",tagliolini a nido,12,250 g,€ 1.99,4%,,,,
1PBLAS,8013885060016,1902.19.10,"DURUM WHEAT ITALIAN PASTA PASTA DI SEMOLA DI GRANO DURO",lasagne,12,250 g,€ 1.05,4%,,,,
1PILAS,8013885060023,1902.19.10,"WHOLE DURUM WHEAT ITALIAN PASTA PASTA DI SEMOLA INTEGRALE DI GRANO DURO",lasagne,12,250 g,€ 1.05,4%,,,,
1FARLAS,8013885060030,1902.19.10,"100% WHOLEGRAIN DICOCCUM SPELT ITALIAN PASTA PASTA INTEGRALE 100% DI FARRO DICOCCUM",lasagne,12,250 g,€ 1.93,4%,,,,
3GOMA,8013885100019,1207.40.90,SESAME SEASONING/INSAPORITORE A BASE DI SESAMO,,06 ,150 g,€ 1.76,10%,,,,
3GALG,8013885100026,1207.40.90,SESAME SEASONING WITH SEAWEEDS                                    INSAPORITORE A BASE DI SESAMO CON ALGHE,,06,150 g,€ 2.19,10%,,,,
3GERB,8013885100040,1207.40.90,SESAME SEASONING WITH HERBS AND SPICES                    INSAPORITORE A BASE DI SESAMO CON ERBE EROMATICHE E SPEZIE,,06,150 g,€ 2.19,10%,,,,
3GSPI,8013885100088,1207.40.90,SESAME SEASONING WITH SPIRULINA                                   INSAPORITORE A BASE DI SESAMO CON SPIRULINA,,06,150 g,€ 2.12,10%,,,,
3GSENE,8013885100095,1207.40.90,SESAME SEASONING WITH BLACK SESAME SEEDS               INSAPORITORE A BASE DI SESAMO CON SESAMO NERO,,06,150 g,€ 1.85,10%,,,,
